Form,FieldLabel,UserPermissionGroup,FieldName
People,create contact,Contact,addNewContact
People,save record,Contact,saveRecord
People,Delete Contact,Contact,delete
People,Sal,Contact,Sal
People,Title,Contact,Title
People,First Name,Contact,FName
People,Last Name,Contact,LName
People,Primary Job Title,Contact,JobTitle
People,Inactive Status,Contact,Inactive
People,Add/Edit/Delete Contact Institution,Contact,institutionTable
People,Add/Edit/Delete Phone #,Contact,contactPhoneTable
People,Add/Edit/Delete Contact Email,Contact,contactEmailTable
People,Faculty / Department,Contact,Address1
People,Building / Room,Contact,Address2
People,Street Address,Contact,Address3
People,City,Contact,City
People,Province,Contact,Province
People,Postal Code,Contact,PostalCode
People,Country,Contact,Country
People,Add/Edit/Delete Admin Assistant,Contact,adminAssistantsTable
People,Notes,Contact,Notes
People,contactGroupsTable,Contact,contactGroupsTable
Institution,Create institution,Institution,addNewInstitution
Institution,save institution,Institution,saveRecord
Institution,Delete Institution,Institution,delete
Institution,Institution Name,Institution,InstitutionName
Institution,Parent Institution,Institution,ParentInstitution
Institution,Acronym,Institution,Acronym
Institution,Street Address,Institution,Address3
Institution,City,Institution,City
Institution,Province,Institution,Province
Institution,Postal Code,Institution,PostalCode
Institution,Country,Institution,Country
Institution,MOU Start Date,Research,MOUStartDate
Institution,MOU End Date,Research,MOUEndDate
Institution,MOU Extended On,Research,MOUExtendedOnDate
Institution,Notes,Institution,Notes
Project,create new project,Research,addNewProject
Project,delete project,Research,delete
Project,Project Number,Research,ProjectNumber
Project,Project Title,Research,ProjectTitle
Project,Project Short Name,Research,ProjectShortName
Project,Program Type,Research,ProgramType
Project,Status,Research,ProjectStatus
Project,Renewal?,Research,Renewal
Project,Renewed Project,Research,RenewedProject
Project,Mentor Project,Research,ProjectMentorSection
Project,Project Leader,Research,ProjectLeaderSection
Project,Mentor Program,Research,MentorProgram
Project,Add/Edit/Delete Project Mentor,Research,projectMentorsTable
Project,Add/Edit/Delete Project Leader,Research,projectLEadersTable
Project,Add/Edit/Delete Project Manager,Research,projectManagersTable
Project,Length Of Project Years,Research,LengthOfProjectYears
Project,Length Of Project Months,Research,LengthOfProjectMonths
Project,Start Date,Research,StartDate
Project,End Date,Research,EndDate
Project,Letter Of Offer Date,Research,LetterOfOfferDate
Project,NCE End Date,Research,NCEEndDate
Project,Close Out Letter Sent Date,Research,CloseOutLetterSentDate
Project,18 Month Follow Up Date,Research,FollowUpDate
Project,Budget Amended Date,Finance,BudgetAmendedDate
Project,Closed Unused Funds,Finance,ClosedUnusedFunds
Project,Refund Received,Finance,RefundReceivedDate
Project,Progress Report Frequency,Research,ProgressReportFrequency
Project,Last SAC Meeting Date,Research,LastSACMeetingDate
Project,Next SAC Meeting Date,Research,NextSACMeetingDate
Project,Last Progress Report Received,Research,LastProgressReportReceived
Project,Progress Report Months,Research,ProgressReportMonths
Project,Next Project Meeting Date,Research,NextProjectMeetingDate
Project,Last Metrics Report Received,Research,LastMetricsReportReceived
Project,Project Meeting Frequency,Research,ProjectMeetingFrequency
Project,Last Project Meeting Date,Research,LastProjectMeetingDate
Project,Create/Edit/Delete Sub-Project,Research,subProjectsTable
SubProject,delete sub project,Research,delete
SubProject,Sub Project Name,Research,SubProjectName
SubProject,Add/Edit/Delete Principal Investigator,Research,principalInvestigatorsTable
SubProject,Add/Edit/Delete Co-Investigator,Research,coInvestigatorsTable
SubProject,Add/Edit/Delete Collaborator,Research,collaboratorsTable
SubProject,Add/Edit/Delete Other Personnel,Research,otherPersonnelTable
SubProject,Create/Edit/Delete Budget Record,Finance,subProjectBudgetTable
SubProject,Sub-Project Description,Research,SubProjectDescription
SubProject,Notes,Research,Notes
Project,Add/Edit/Delete Project Collaborator,Research,projectCollaboratorsTable
Project,Add/Edit/Delete SAC Members,Research,sacMembersTable
Project,Keywords,Research,Keywords
Project,Extra Keywords,Research,ExtraKeywords
Project,Lay Summary,Research,LaySummary
Project,Scientific Summary,Research,ScientificSummary
Project,Project Diary,Research,projectDiaryTable
AllProjects,Add New Project,Research,addNewProject
People,delete record,Contact,deleteRecord
People,delete record,Contact,editRecord
Project,edit tables,Research,editRecord
Project,edit tables,Research,saveEdit
Project,Project Diary,Research,addDiaryRecord
